Index-1,Index-2,$,Brent
0.046464,0.046592,0.150552,0.761534
0.046192,0.046464,0.150772,0.762464
0.046272,0.046192,0.151494,0.755026
0.04633,0.046272,0.15118,0.750843
0.04595,0.04633,0.152279,0.753399
0.045975,0.04595,0.151651,0.768158
0.046092,0.045975,0.151274,0.768507
0.046318,0.046092,0.152467,0.768507
0.046383,0.046318,0.156674,0.811273
0.046414,0.046383,0.16019,0.808251
0.046465,0.046414,0.158494,0.801395
0.04663,0.046465,0.1584,0.800581
0.046701,0.04663,0.158651,0.787333
0.046732,0.046701,0.158714,0.792679
0.046554,0.046732,0.162324,0.779082
0.046343,0.046554,0.177675,0.765485
0.046718,0.046343,0.18411,0.796979
0.046538,0.046718,0.18411,0.827775
0.046316,0.046538,0.18411,0.83498
0.046172,0.046316,0.18411,0.843347
0.045941,0.046172,0.17554,0.831145
0.045949,0.045941,0.174975,0.831726
0.045949,0.045949,0.176199,0.856014
0.045825,0.045949,0.176827,0.855665
0.045454,0.045825,0.175383,0.872051
0.04536,0.045454,0.173562,0.865195
0.045494,0.04536,0.171082,0.858803
0.045599,0.045494,0.170235,0.858454
0.045353,0.045599,0.175885,0.864846
0.045123,0.045353,0.183764,0.857525
0.045018,0.045123,0.179024,0.866241
0.04503,0.045018,0.187249,0.851482
0.044784,0.04503,0.20037,0.870773
0.044663,0.044784,0.199335,0.871121
0.044815,0.044663,0.18593,0.874608
0.045027,0.044815,0.20059,0.878791
0.045068,0.045027,0.206272,0.897153
0.045164,0.045068,0.207088,0.895061
0.045296,0.045164,0.202631,0.894712
0.045555,0.045296,0.198707,0.910866
0.045652,0.045555,0.201344,0.909123
0.045669,0.045652,0.193119,0.920511
0.045747,0.045669,0.19268,0.914468
0.045763,0.045747,0.194657,0.914236
0.045807,0.045763,0.198801,0.922719
0.045808,0.045807,0.200496,0.922836
0.045911,0.045808,0.199774,0.925741
0.046079,0.045911,0.20081,0.885415
0.045999,0.046079,0.199743,0.888669
0.045952,0.045999,0.199429,0.875421
0.045894,0.045952,0.197514,0.8767
0.045975,0.045894,0.202097,0.904823
0.046155,0.045975,0.20059,0.890296
0.046178,0.046155,0.202128,0.875537
0.046216,0.046178,0.21142,0.888088
0.046138,0.046216,0.206429,0.887856
0.046105,0.046138,0.212864,0.88774
0.046361,0.046105,0.220838,0.881348
0.047692,0.046361,0.21999,0.890761
0.049282,0.047692,0.220712,0.849274
0.050283,0.049282,0.221434,0.875073
0.051231,0.050283,0.226865,0.873562
0.052371,0.051231,0.232295,0.865195
0.052625,0.052371,0.235623,0.877513
0.053904,0.052625,0.273261,0.875305
0.055402,0.053904,0.255996,0.863335
0.05461,0.055402,0.247708,0.885067
0.05355,0.05461,0.250314,0.896804
0.053648,0.05355,0.250345,0.920744
0.052285,0.053648,0.262368,0.90982
0.052882,0.052285,0.261521,0.898664
0.054041,0.052882,0.256153,0.902847
0.054111,0.054041,0.25157,0.908425
0.053419,0.054111,0.251727,0.896339
0.053322,0.053419,0.250691,0.909355
0.053321,0.053322,0.244381,0.915747
0.052675,0.053321,0.244538,0.859617
0.052392,0.052675,0.249906,0.872516
0.051985,0.052392,0.253453,0.869959
0.052004,0.051985,0.248587,0.83835
0.051845,0.052004,0.257251,0.838234
0.051843,0.051845,0.255337,0.847298
0.052093,0.051843,0.271534,0.848228
0.05235,0.052093,0.279288,0.849157
0.052268,0.05235,0.294136,0.847995
0.052141,0.052268,0.295266,0.852179
0.052336,0.052141,0.287387,0.8595
0.052336,0.052336,0.292441,0.865311
0.052336,0.052336,0.296836,0.864033
0.053816,0.052336,0.304307,0.864149
0.054766,0.053816,0.365708,0.868797
0.056164,0.054766,0.360058,0.8767
0.058287,0.056164,0.330895,0.862522
0.059624,0.058287,0.332685,0.842301
0.059817,0.059624,0.318559,0.852528
0.061787,0.059817,0.308168,0.852528
0.064134,0.061787,0.301231,0.85613
0.064257,0.064134,0.281768,0.866473
